,County_EN,YYYY_WW,BI,CI,HI,Temperature,T Max,T Min,RH,Precp
0,Hualien,2012_01,0.5,6.249750000000001,0.5,16.614285714285714,18.657142857142862,14.714285714285714,75.71428571428571,0.5714285714285714
1,Hualien,2012_02,0.0,0.0,0.0,18.942857142857143,21.557142857142857,16.8,75.42857142857143,0.35714285714285715
2,Hualien,2012_03,0.0,0.0,0.0,19.3,21.91428571428571,17.1,76.42857142857143,2.4
3,Hualien,2012_04,XXX,XXX,XXX,16.142857142857146,18.6,13.771428571428572,79.71428571428571,5.0
4,Hualien,2012_05,0.0,0.0,0.0,17.957142857142856,20.414285714285715,16.057142857142857,76.57142857142857,1.0
5,Hualien,2012_06,0.0,0.0,0.0,18.242857142857144,21.37142857142857,15.585714285714287,74.57142857142857,1.2
6,Hualien,2012_07,0.0,0.0,0.0,19.8,22.571428571428573,17.514285714285712,75.28571428571429,0.4
7,Hualien,2012_08,0.05714285714285714,0.19044,0.05714285714285714,19.642857142857142,22.242857142857144,17.571428571428573,81.71428571428571,9.583333333333334
8,Hualien,2012_09,0.0,0.0,0.0,19.52857142857143,22.65714285714285,17.37142857142857,82.42857142857143,7.214285714285714
9,Hualien,2012_10,0.0,0.0,0.0,21.499999999999996,24.442857142857147,18.771428571428572,80.0,2.5833333333333335
10,Hualien,2012_11,0.06666666666666667,0.16,0.06666666666666667,20.17142857142857,23.614285714285717,17.142857142857142,80.28571428571429,3.5714285714285716
11,Hualien,2012_12,0.0,0.0,0.0,21.342857142857145,24.5,18.671428571428574,76.85714285714286,4.928571428571429
12,Hualien,2012_13,0.0,0.0,0.0,19.61428571428571,23.714285714285715,16.5,63.142857142857146,0.07142857142857142
13,Hualien,2012_14,0.0,0.0,0.0,20.414285714285715,24.199999999999996,17.52857142857143,69.42857142857143,1.5
14,Hualien,2012_15,0.13333333333333333,0.33333333333333337,0.13333333333333333,23.25714285714286,26.342857142857145,20.25714285714286,79.42857142857143,1.1666666666666667
