ID,Time,BI,CI,HI,Temperature,T Max,T Min,RH,Precp
1,1,XXX,XXX,XXX,16.614285714285714,18.657142857142862,14.714285714285715,75.71428571428571,0.5714285714285714
1,2,0.0,0.0,0.0,18.942857142857143,21.557142857142853,16.8,75.42857142857143,0.35714285714285715
1,3,0.0,0.0,0.0,19.3,21.91428571428571,17.1,76.42857142857143,2.4
1,4,0.0,0.0,0.0,16.142857142857142,18.6,13.771428571428574,79.71428571428571,5.0
1,5,0.05714285714285714,0.19044,0.05714285714285714,17.957142857142856,20.414285714285715,16.057142857142857,76.57142857142857,1.0
1,6,0.0,0.0,0.0,18.242857142857144,21.37142857142857,15.585714285714287,74.57142857142857,1.2
1,7,0.0,0.0,0.0,19.8,22.57142857142857,17.514285714285712,75.28571428571429,0.4
1,8,0.06666666666666667,0.16,0.06666666666666667,19.642857142857142,22.242857142857147,17.571428571428573,81.71428571428571,9.583333333333334
1,9,0.0,0.0,0.0,19.52857142857143,22.657142857142855,17.37142857142857,82.42857142857143,7.2142857142857135
1,10,0.0,0.0,0.0,21.5,24.442857142857147,18.771428571428565,80.0,2.583333333333333
1,11,0.0,0.0,0.0,20.17142857142857,23.614285714285717,17.142857142857142,80.28571428571429,3.571428571428572
1,12,0.13333333333333333,0.33333333333333337,0.13333333333333333,21.342857142857145,24.5,18.671428571428574,76.85714285714286,4.928571428571429
1,13,0.18,0.4305333333333333,0.18,19.61428571428571,23.714285714285715,16.5,63.14285714285714,0.07142857142857142
1,14,0.5,1.38875,0.5,20.414285714285715,24.2,17.52857142857143,69.42857142857143,1.5
1,15,0.0,0.0,0.0,23.25714285714286,26.342857142857145,20.25714285714286,79.42857142857143,1.1666666666666667
1,16,0.16666666666666666,0.398125,0.16666666666666666,23.24285714285714,26.600000000000005,20.685714285714287,79.42857142857143,7.25
1,17,0.0,0.0,0.0,23.485714285714288,27.4,20.52857142857143,78.14285714285714,5.333333333333333
1,18,0.0,0.0,0.0,24.67142857142857,27.642857142857146,22.185714285714287,79.42857142857143,5.357142857142857
1,19,0.0,0.0,0.0,24.9,28.6,22.04285714285714,75.42857142857143,2.75
1,20,0.2571428571428571,0.46180000000000004,0.2571428571428571,26.02857142857143,30.0,22.7,74.14285714285714,4.0
1,21,0.0,0.0,0.0,25.271428571428572,28.82857142857143,22.642857142857146,75.28571428571429,8.642857142857142
1,22,0.0,0.0,0.0,25.585714285714282,28.228571428571428,23.54285714285714,88.2857142857143,37.42857142857143
1,23,0.0,0.0,0.0,27.185714285714287,30.67142857142857,24.9,84.42857142857143,14.0
1,24,0.4,0.5262,0.4,25.771428571428572,28.685714285714283,23.785714285714285,87.0,24.785714285714285
1,25,0.0,0.0,0.0,26.642857142857146,29.37142857142857,24.557142857142853,79.14285714285714,6.5
