,County,County,YYYY_WW,BI,CI,HI,Temperature,T Max,T Min,RH,Precp
0,花蓮縣,Hualien,2012_01,0.5,4668.452266666666,0.5,16.614285714285714,18.657142857142862,14.714285714285714,75.71428571428571,0.5714285714285714
1,花蓮縣,Hualien,2012_02,0.0,750.0,0.0,18.942857142857143,21.557142857142857,16.8,75.42857142857143,0.35714285714285715
2,花蓮縣,Hualien,2012_03,0.0,833.3333333333334,0.0,19.3,21.91428571428571,17.1,76.42857142857143,2.4
3,花蓮縣,Hualien,2012_04,X,X,X,16.142857142857146,18.6,13.771428571428572,79.71428571428571,5.0
4,花蓮縣,Hualien,2012_05,0.0,0.0,0.0,17.957142857142856,20.414285714285715,16.057142857142857,76.57142857142857,1.0
5,花蓮縣,Hualien,2012_06,0.0,0.0,0.0,18.242857142857144,21.37142857142857,15.585714285714287,74.57142857142857,1.2
6,花蓮縣,Hualien,2012_07,0.0,357.14285714285717,0.0,19.8,22.571428571428573,17.514285714285712,75.28571428571429,0.4
7,花蓮縣,Hualien,2012_08,0.05714285714285714,971.5646,0.05714285714285714,19.642857142857142,22.242857142857144,17.571428571428573,81.71428571428571,9.583333333333334
8,花蓮縣,Hualien,2012_09,0.0,2500.0,0.0,19.52857142857143,22.65714285714285,17.37142857142857,82.42857142857143,7.214285714285714
9,花蓮縣,Hualien,2012_10,0.0,2000.0,0.0,21.499999999999996,24.442857142857147,18.771428571428572,80.0,2.5833333333333335
10,花蓮縣,Hualien,2012_11,0.06666666666666667,333.46666666666664,0.06666666666666667,20.17142857142857,23.614285714285717,17.142857142857142,80.28571428571429,3.5714285714285716
11,花蓮縣,Hualien,2012_12,0.0,1638.8888888888891,0.0,21.342857142857145,24.5,18.671428571428574,76.85714285714286,4.928571428571429
12,花蓮縣,Hualien,2012_13,0.0,0.0,0.0,19.61428571428571,23.714285714285715,16.5,63.142857142857146,0.07142857142857142
13,花蓮縣,Hualien,2012_14,0.0,0.0,0.0,20.414285714285715,24.199999999999996,17.52857142857143,69.42857142857143,1.5
14,花蓮縣,Hualien,2012_15,0.13333333333333333,667.0,0.13333333333333333,23.25714285714286,26.342857142857145,20.25714285714286,79.42857142857143,1.1666666666666667
15,花蓮縣,Hualien,2012_16,0.18,2717.0451166666667,0.18,23.24285714285714,26.600000000000005,20.685714285714283,79.42857142857143,7.25
16,花蓮縣,Hualien,2012_17,0.5,2501.38875,0.5,23.485714285714288,27.400000000000002,20.52857142857143,78.14285714285714,5.333333333333333
17,花蓮縣,Hualien,2012_18,0.0,1111.111111111111,0.0,24.67142857142857,27.642857142857142,22.185714285714287,79.42857142857143,5.357142857142857
18,花蓮縣,Hualien,2012_19,0.16666666666666666,0.398125,0.16666666666666666,24.9,28.599999999999998,22.04285714285714,75.42857142857143,2.75
19,花蓮縣,Hualien,2012_20,0.0,3000.0,0.0,26.02857142857143,30.0,22.7,74.14285714285714,4.0
20,花蓮縣,Hualien,2012_21,0.0,3833.3333333333335,0.0,25.271428571428572,28.82857142857143,22.642857142857142,75.28571428571429,8.642857142857142
21,花蓮縣,Hualien,2012_22,0.0,1111.111111111111,0.0,25.585714285714285,28.228571428571428,23.54285714285714,88.28571428571429,37.42857142857143
22,花蓮縣,Hualien,2012_23,0.2571428571428571,0.46180000000000004,0.2571428571428571,27.185714285714287,30.671428571428574,24.9,84.42857142857143,14.0
23,花蓮縣,Hualien,2012_24,0.0,3333.3333333333335,0.0,25.771428571428572,28.685714285714283,23.785714285714285,87.0,24.785714285714285
24,花蓮縣,Hualien,2012_25,0.0,3071.4285714285716,0.0,26.642857142857142,29.37142857142857,24.557142857142857,79.14285714285714,6.5
25,花蓮縣,Hualien,2012_26,0.0,0.0,0.0,28.22857142857143,31.485714285714288,25.32857142857143,72.71428571428571,6.0
26,花蓮縣,Hualien,2012_27,0.4,733.8595333333334,0.4,28.671428571428574,31.599999999999998,25.685714285714283,69.0,0.0
27,花蓮縣,Hualien,2012_28,0.0,277.77777777777777,0.0,29.071428571428573,32.528571428571425,25.914285714285715,68.42857142857143,0.0
28,花蓮縣,Hualien,2012_29,0.0,2000.0,0.0,29.357142857142854,33.771428571428565,26.17142857142857,73.57142857142857,0.21428571428571427
29,花蓮縣,Hualien,2012_30,0.0,0.0,0.0,27.52857142857143,31.35714285714286,24.757142857142856,81.0,12.0
30,花蓮縣,Hualien,2012_31,0.0,0.0,0.0,27.442857142857143,30.685714285714287,24.842857142857145,80.28571428571429,60.92857142857143
31,花蓮縣,Hualien,2012_32,0.0,0.0,0.0,28.614285714285717,31.885714285714283,25.900000000000002,75.57142857142857,0.0
32,花蓮縣,Hualien,2012_33,0.3333333333333333,0.5465,0.3333333333333333,28.585714285714285,32.357142857142854,25.314285714285713,74.85714285714286,10.714285714285714
33,花蓮縣,Hualien,2012_34,0.0,0.0,0.0,28.02857142857143,31.400000000000002,24.8,73.85714285714286,24.083333333333332
34,花蓮縣,Hualien,2012_35,0.0,0.0,0.0,27.471428571428568,30.914285714285715,24.728571428571428,76.14285714285714,10.166666666666666
35,花蓮縣,Hualien,2012_36,0.0,666.6666666666666,0.0,27.87142857142857,31.685714285714283,24.785714285714285,72.71428571428571,0.16666666666666666
36,花蓮縣,Hualien,2012_37,0.25,1250.543375,0.25,28.042857142857137,31.928571428571427,24.54285714285714,69.71428571428571,0.0
37,花蓮縣,Hualien,2012_38,0.0,1666.6666666666667,0.0,25.414285714285715,29.185714285714283,22.857142857142858,73.0,2.0
38,花蓮縣,Hualien,2012_39,0.0,0.0,0.0,26.37142857142857,29.500000000000004,23.728571428571428,70.71428571428571,3.9285714285714284
39,花蓮縣,Hualien,2012_40,0.0,1000.0,0.0,24.471428571428568,28.328571428571426,21.442857142857143,66.85714285714286,0.07142857142857142
40,花蓮縣,Hualien,2012_41,0.13333333333333333,4666.833333333334,0.13333333333333333,24.614285714285717,28.95714285714286,20.757142857142856,65.0,0.0
41,花蓮縣,Hualien,2012_42,0.13714285714285715,6229.154799999999,0.13714285714285715,24.35714285714286,28.614285714285717,21.185714285714283,65.14285714285714,0.0
42,花蓮縣,Hualien,2012_43,0.08816666666666667,3612.5,0.08816666666666667,24.171428571428574,29.0,20.95714285714286,76.57142857142857,2.4285714285714284
43,花蓮縣,Hualien,2012_44,0.5,1.923,0.5,22.499999999999996,24.614285714285717,21.01428571428571,83.85714285714286,11.25
44,花蓮縣,Hualien,2012_45,0.2999833333333333,2501.42185,0.2999833333333333,22.642857142857142,25.97142857142857,19.942857142857143,72.42857142857143,0.0
45,花蓮縣,Hualien,2012_46,0.32528571428571423,4367.927055555556,0.32528571428571423,21.514285714285712,24.0,19.54285714285714,79.57142857142857,7.428571428571429
46,花蓮縣,Hualien,2012_47,0.986,2835.5405,0.56925,20.800000000000004,23.185714285714287,19.3,85.71428571428571,4.142857142857143
47,花蓮縣,Hualien,2012_48,0.0,0.0,0.0,20.385714285714283,23.757142857142856,18.085714285714285,81.71428571428571,3.5
48,花蓮縣,Hualien,2012_49,0.3,0.97735,0.3,19.02857142857143,21.214285714285715,17.414285714285715,79.42857142857143,11.0
49,花蓮縣,Hualien,2012_50,0.34285714285714286,687.4285714285713,0.05714285714285714,19.271428571428572,22.085714285714285,17.27142857142857,80.85714285714286,5.071428571428571
50,花蓮縣,Hualien,2012_51,0.0,2500.0,0.0,19.714285714285715,23.185714285714287,16.985714285714288,75.57142857142857,5.583333333333333
51,花蓮縣,Hualien,2012_52,0.0,0.0,0.0,18.614285714285717,21.314285714285713,16.514285714285712,76.57142857142857,6.928571428571429
52,花蓮縣,Hualien,2013_01,0.26666666666666666,1667.5277333333333,0.26666666666666666,16.685714285714287,19.885714285714283,14.099999999999998,74.71428571428571,1.7
53,花蓮縣,Hualien,2013_02,0.11428571428571428,1500.339861904762,0.11428571428571428,19.37142857142857,22.12857142857143,17.071428571428573,76.42857142857143,3.2142857142857144
54,花蓮縣,Hualien,2013_03,0.2920333333333333,2169.6269333333335,0.2920333333333333,17.400000000000002,20.357142857142854,14.857142857142858,64.85714285714286,1.2142857142857142
55,花蓮縣,Hualien,2013_04,0.0,1666.6666666666667,0.0,18.942857142857143,22.057142857142853,16.257142857142856,75.42857142857143,2.5833333333333335
56,花蓮縣,Hualien,2013_05,0.6448,3511.0119999999997,0.47240000000000004,18.45714285714286,21.54285714285714,15.485714285714286,70.71428571428571,5.071428571428571
57,花蓮縣,Hualien,2013_06,0.6808080808080808,1022.1755898989899,0.6391330808080807,21.371428571428574,24.257142857142856,19.400000000000002,77.71428571428571,3.2857142857142856
58,花蓮縣,Hualien,2013_07,0.0,0.0,0.0,20.157142857142855,23.571428571428573,17.285714285714285,74.14285714285714,0.7857142857142857
59,花蓮縣,Hualien,2013_08,0.17585784313725492,1698.7746683006535,0.17585784313725492,20.5,23.685714285714283,18.014285714285716,72.42857142857143,0.42857142857142855
60,花蓮縣,Hualien,2013_09,0.08333333333333333,1666.8333333333333,0.08333333333333333,20.54285714285714,23.228571428571428,18.428571428571427,74.85714285714286,1.9285714285714286
61,花蓮縣,Hualien,2013_10,0.04,2690.5561904761903,0.04,19.314285714285717,23.04285714285714,15.799999999999999,61.42857142857143,0.5
62,花蓮縣,Hualien,2013_11,0.2,0.2941,0.2,21.271428571428576,24.771428571428572,18.17142857142857,67.42857142857143,0.16666666666666666
63,花蓮縣,Hualien,2013_12,0.3466666666666667,1123.2397555555556,0.3466666666666667,23.657142857142862,27.28571428571428,20.32857142857143,76.14285714285714,6.285714285714286
64,花蓮縣,Hualien,2013_13,0.125,0.4315,0.125,21.757142857142856,24.557142857142857,19.37142857142857,78.57142857142857,1.4
65,花蓮縣,Hualien,2013_14,0.17457142857142857,4763.412666666666,0.17457142857142857,21.47142857142857,24.657142857142855,18.957142857142856,79.57142857142857,5.714285714285714
66,花蓮縣,Hualien,2013_15,0.2619047619047619,1310.1266904761906,0.2619047619047619,18.400000000000002,20.928571428571427,16.7,81.57142857142857,7.571428571428571
67,花蓮縣,Hualien,2013_16,0.07303571428571429,309.49675324675326,0.05138636363636363,23.542857142857144,27.071428571428573,20.75714285714286,79.71428571428571,1.4285714285714286
68,花蓮縣,Hualien,2013_17,0.0,400.0,0.0,21.771428571428572,24.414285714285715,19.5,78.42857142857143,3.3333333333333335
69,花蓮縣,Hualien,2013_18,0.0,4416.666666666667,0.0,21.885714285714283,25.67142857142857,19.057142857142853,78.0,4.0
70,花蓮縣,Hualien,2013_19,0.3241758241758242,323.7682498691785,0.3241758241758242,23.54285714285714,25.97142857142857,21.91428571428571,91.57142857142857,43.357142857142854
71,花蓮縣,Hualien,2013_20,0.19047619047619047,0.4362142857142857,0.19047619047619047,25.5,28.87142857142857,22.985714285714288,86.28571428571429,7.0
72,花蓮縣,Hualien,2013_21,0.7675055555555556,11.071372222222223,0.7675055555555556,25.8,28.699999999999996,24.12857142857143,87.57142857142857,8.428571428571429
73,花蓮縣,Hualien,2013_22,0.27999999999999997,1.3261599999999998,0.21332,27.900000000000002,31.62857142857143,24.62857142857143,76.71428571428571,0.03333333333333333
74,花蓮縣,Hualien,2013_23,0.08094285714285714,1365.3678222222222,0.08094285714285714,27.514285714285716,31.071428571428573,24.657142857142862,77.0,4.0
