,County_EN,Year_Week,Temperature,RH,T Max,T Min,Precp
0,Taichung,2012_01,15.271428571428572,74.14285714285714,18.957142857142856,12.628571428571428,2.2857142857142856
1,Taichung,2012_02,18.042857142857144,73.14285714285714,22.22857142857143,15.285714285714286,0.3
2,Taichung,2012_03,17.82857142857143,75.42857142857143,22.9,14.685714285714283,2.3857142857142857
3,Taichung,2012_04,14.971428571428573,76.57142857142857,19.185714285714287,12.114285714285716,3.185714285714286
4,Taichung,2012_05,16.25714285714286,72.85714285714286,21.071428571428573,13.471428571428572,0.0
5,Taichung,2012_06,16.357142857142854,75.71428571428571,21.314285714285717,13.085714285714287,3.242857142857143
6,Taichung,2012_07,17.585714285714285,72.0,22.414285714285715,14.585714285714287,0.028571428571428574
7,Taichung,2012_08,18.271428571428576,76.14285714285714,22.757142857142856,15.157142857142858,4.033333333333333
8,Taichung,2012_09,16.557142857142857,79.71428571428571,21.400000000000002,13.314285714285713,4.3
9,Taichung,2012_10,18.885714285714283,79.85714285714286,24.199999999999996,15.22857142857143,1.757142857142857
10,Taichung,2012_11,17.885714285714283,83.57142857142857,22.52857142857143,14.885714285714284,4.071428571428571
11,Taichung,2012_12,21.314285714285713,74.14285714285714,26.942857142857143,17.62857142857143,0.0
12,Taichung,2012_13,21.042857142857144,61.285714285714285,26.58571428571429,16.25714285714286,0.0
13,Taichung,2012_14,22.971428571428568,72.57142857142857,26.7,20.099999999999998,2.0285714285714285
14,Taichung,2012_15,25.6,73.57142857142857,30.085714285714285,22.528571428571432,0.1571428571428571
15,Taichung,2012_16,24.542857142857144,77.71428571428571,28.485714285714288,21.428571428571427,9.542857142857144
16,Taichung,2012_17,25.271428571428572,75.57142857142857,29.171428571428578,22.357142857142858,11.957142857142857
17,Taichung,2012_18,25.957142857142852,76.85714285714286,30.485714285714284,22.685714285714287,11.657142857142857
18,Taichung,2012_19,26.999999999999996,70.0,31.52857142857143,23.442857142857143,0.042857142857142864
19,Taichung,2012_20,26.842857142857138,79.14285714285714,30.842857142857145,24.085714285714285,21.542857142857144
20,Taichung,2012_21,26.75714285714286,68.14285714285714,31.5,22.942857142857143,2.957142857142857
21,Taichung,2012_22,27.357142857142858,76.14285714285714,31.54285714285714,24.6,11.900000000000002
22,Taichung,2012_23,28.442857142857143,74.28571428571429,32.52857142857143,25.771428571428576,4.142857142857143
23,Taichung,2012_24,27.014285714285712,86.14285714285714,30.171428571428574,25.099999999999998,25.04285714285714
24,Taichung,2012_25,26.885714285714283,82.57142857142857,30.614285714285717,24.45714285714286,17.7
25,Taichung,2012_26,29.0,73.42857142857143,32.800000000000004,25.542857142857144,0.48571428571428577
26,Taichung,2012_27,29.314285714285717,71.42857142857143,33.41428571428572,26.442857142857147,0.6285714285714287
27,Taichung,2012_28,30.0,67.14285714285714,34.07142857142857,26.871428571428574,0.05714285714285715
28,Taichung,2012_29,29.24285714285714,74.14285714285714,33.542857142857144,26.057142857142857,10.785714285714286
29,Taichung,2012_30,27.842857142857138,79.28571428571429,32.714285714285715,24.871428571428574,18.36666666666667
30,Taichung,2012_31,27.685714285714283,80.85714285714286,30.971428571428568,25.057142857142857,73.24285714285715
31,Taichung,2012_32,28.414285714285715,75.28571428571429,32.31428571428571,25.642857142857142,2.2285714285714286
32,Taichung,2012_33,28.25714285714286,77.0,32.214285714285715,25.257142857142856,11.1
33,Taichung,2012_34,28.014285714285712,76.85714285714286,32.01428571428571,25.014285714285716,18.04285714285714
34,Taichung,2012_35,27.957142857142856,76.85714285714286,32.300000000000004,25.057142857142857,2.857142857142857
35,Taichung,2012_36,28.1,75.14285714285714,32.52857142857143,24.74285714285714,4.171428571428572
36,Taichung,2012_37,28.414285714285715,72.57142857142857,32.471428571428575,25.62857142857143,0.5714285714285714
37,Taichung,2012_38,26.942857142857143,64.0,31.628571428571426,23.342857142857145,0.0
38,Taichung,2012_39,27.52857142857143,64.14285714285714,32.24285714285715,24.314285714285713,0.0
39,Taichung,2012_40,24.85714285714286,62.42857142857143,30.02857142857143,21.057142857142857,0.0
40,Taichung,2012_41,24.942857142857143,57.285714285714285,30.02857142857143,21.400000000000002,0.0
41,Taichung,2012_42,24.214285714285715,60.714285714285715,29.442857142857143,20.157142857142855,0.0
42,Taichung,2012_43,25.300000000000004,67.71428571428571,30.514285714285712,21.328571428571426,0.028571428571428574
43,Taichung,2012_44,24.185714285714287,68.28571428571429,28.414285714285715,21.1,0.17142857142857146
44,Taichung,2012_45,23.82857142857143,63.57142857142857,29.300000000000004,19.942857142857143,0.0
45,Taichung,2012_46,23.557142857142857,66.57142857142857,28.842857142857138,19.871428571428574,2.7
46,Taichung,2012_47,21.400000000000002,77.42857142857143,24.685714285714287,18.714285714285715,8.671428571428573
47,Taichung,2012_48,19.900000000000002,82.28571428571429,22.91428571428571,17.32857142857143,9.828571428571427
48,Taichung,2012_49,19.014285714285716,75.28571428571429,23.14285714285714,16.54285714285714,6.042857142857143
49,Taichung,2012_50,18.971428571428568,73.0,24.228571428571428,15.428571428571429,1.5142857142857142
50,Taichung,2012_51,18.957142857142856,71.0,24.37142857142857,15.12857142857143,0.14285714285714285
51,Taichung,2012_52,18.27142857142857,70.0,23.057142857142857,14.842857142857143,0.7999999999999999
52,Taichung,2013_01,15.042857142857141,73.85714285714286,19.071428571428573,12.342857142857143,1.7142857142857142
53,Taichung,2013_02,17.442857142857143,77.57142857142857,21.414285714285715,15.014285714285714,0.2857142857142857
54,Taichung,2013_03,15.514285714285716,73.42857142857143,20.728571428571428,11.528571428571428,0.7285714285714285
55,Taichung,2013_04,17.985714285714284,76.0,22.971428571428568,14.514285714285714,0.0
