ID,Time,BI,CI,HI,Tave,Tmax,Tmin,RH,Precp
1.0,1,0.0,0.0,0.0,16.61,18.65714286,14.71428571,75.71,0.57
1.0,2,0.0,0.0,0.0,18.94,21.55714286,16.8,75.43,0.36
1.0,3,0.0,0.0,0.0,19.3,21.91428571,17.1,76.43,2.4
1.0,4,0.0,0.0,0.0,0.0,18.6,13.77142857,79.71,5.0
1.0,5,0.0,0.0,0.0,17.96,20.41428571,16.05714286,76.57,1.0
1.0,6,0.06,0.19044,0.057142857000000005,18.24,21.37142857,15.58571429,74.57,1.2
1.0,7,0.0,0.0,0.0,19.8,22.57142857,17.51428571,75.29,0.4
1.0,8,0.0,0.0,0.0,19.64,22.24285714,17.57142857,81.71,9.58
1.0,9,0.07,0.16,0.066666667,19.53,22.65714286,17.37142857,82.43,7.21
1.0,10,0.0,0.0,0.0,21.5,24.44285714,18.77142857,80.0,2.58
1.0,11,0.0,0.0,0.0,20.17,23.61428571,17.14285714,80.29,3.57
1.0,12,0.0,0.0,0.0,21.34,24.5,18.67142857,76.86,4.93
1.0,13,0.13,0.333333333,0.133333333,19.61,23.71428571,16.5,63.14,0.07
1.0,14,0.18,0.43053333299999996,0.18,20.41,24.2,17.52857143,69.43,1.5
1.0,15,0.5,1.38875,0.5,23.26,26.34285714,20.25714286,79.43,1.17
1.0,16,0.0,0.0,0.0,23.24,26.6,20.68571429,79.43,7.25
1.0,17,0.17,0.398125,0.166666667,23.49,27.4,20.52857143,78.14,5.33
1.0,18,0.0,0.0,0.0,24.67,27.64285714,22.18571429,79.43,5.36
1.0,19,0.0,0.0,0.0,24.9,28.6,22.04285714,75.43,2.75
1.0,20,0.0,0.0,0.0,26.03,30.0,22.7,74.14,4.0
1.0,21,0.26,0.4618,0.257142857,25.27,28.82857143,22.64285714,75.29,8.64
1.0,22,0.0,0.0,0.0,25.59,28.22857143,23.54285714,88.29,37.43
1.0,23,0.0,0.0,0.0,27.19,30.67142857,24.9,84.43,14.0
1.0,24,0.0,0.0,0.0,25.77,28.68571429,23.78571429,87.0,24.79
1.0,25,0.4,0.5262,0.4,26.64,29.37142857,24.55714286,79.14,6.5
1.0,26,0.0,0.0,0.0,28.23,31.48571429,25.32857143,72.71,6.0
1.0,27,0.0,0.0,0.0,28.67,31.6,25.68571429,69.0,0.0
1.0,28,0.0,0.0,0.0,29.07,32.52857143,25.91428571,68.43,0.0
1.0,29,0.0,0.0,0.0,29.36,33.77142857,26.17142857,73.57,0.21
1.0,30,0.0,0.0,0.0,27.53,31.35714286,24.75714286,81.0,12.0
1.0,31,0.33,0.5465,0.333333333,27.44,30.68571429,24.84285714,80.29,60.93
1.0,32,0.0,0.0,0.0,28.61,31.88571429,25.9,75.57,0.0
1.0,33,0.0,0.0,0.0,28.59,32.35714286,25.31428571,74.86,10.71
1.0,34,0.0,0.0,0.0,28.03,31.4,24.8,73.86,24.08
1.0,35,0.25,0.543375,0.25,27.47,30.91428571,24.72857143,76.14,10.17
1.0,36,0.0,0.0,0.0,27.87,31.68571429,24.78571429,72.71,0.17
1.0,37,0.0,0.0,0.0,28.04,31.92857143,24.54285714,69.71,0.0
1.0,38,0.0,0.0,0.0,25.41,29.18571429,22.85714286,73.0,2.0
1.0,39,0.13,0.3125,0.133333333,26.37,29.5,23.72857143,70.71,3.93
1.0,40,0.14,2.292,0.13714285699999998,24.47,28.32857143,21.44285714,66.86,0.07
1.0,41,0.09,5.0,0.08816666699999999,24.61,28.95714286,20.75714286,65.0,0.0
1.0,42,0.5,1.923,0.5,24.36,28.61428571,21.18571429,65.14,0.0
1.0,43,0.3,2.156083333,0.299983333,24.17,29.0,20.95714286,76.57,2.43
1.0,44,0.33,3.4508400000000004,0.325285714,22.5,24.61428571,21.01428571,83.86,11.25
1.0,45,0.99,2.616375,0.56925,22.64,25.97142857,19.94285714,72.43,0.0
1.0,46,0.0,0.0,0.0,21.51,24.0,19.54285714,79.57,7.43
1.0,47,0.3,0.97735,0.3,20.8,23.18571429,19.3,85.71,4.14
1.0,48,0.34,2.0,0.057142857000000005,20.39,23.75714286,18.08571429,81.71,3.5
1.0,49,0.0,0.0,0.0,19.03,21.21428571,17.41428571,79.43,11.0
1.0,50,0.0,0.0,0.0,19.27,22.08571429,17.27142857,80.86,5.07
1.0,51,0.27,0.861066667,0.26666666699999997,19.71,23.18571429,16.98571429,75.57,5.58
1.0,52,0.11,0.422150794,0.11428571400000001,18.61,21.31428571,16.51428571,76.57,6.93
1.0,53,0.29,2.960266667,0.292033333,16.69,19.88571429,14.1,74.71,1.7
1.0,54,0.0,0.0,0.0,19.37,22.12857143,17.07142857,76.43,3.21
1.0,55,0.64,14.43175,0.4724,17.4,20.35714286,14.85714286,64.86,1.21
1.0,56,0.68,4.8399071430000005,0.639133081,18.94,22.05714286,16.25714286,75.43,2.58
1.0,57,0.0,0.0,0.0,18.46,21.54285714,15.48571429,70.71,5.07
1.0,58,0.18,1.071121795,0.175857843,21.37,24.25714286,19.4,77.71,3.29
1.0,59,0.08,0.2,0.083333333,20.16,23.57142857,17.28571429,74.14,0.79
1.0,60,0.04,0.16,0.04,20.5,23.68571429,18.01428571,72.43,0.43
1.0,61,0.2,0.2941,0.2,20.54,23.22857143,18.42857143,74.86,1.93
1.0,62,0.35,1.080033333,0.34666666700000004,19.31,23.04285714,15.8,61.43,0.5
1.0,63,0.13,0.4315,0.125,21.27,24.77142857,18.17142857,67.43,0.17
1.0,64,0.17,3.95825,0.17457142899999997,23.66,27.28571429,20.32857143,76.14,6.29
1.0,65,0.26,0.884734694,0.261904762,21.76,24.55714286,19.37142857,78.57,1.4
1.0,66,0.07,1.198979592,0.051386364000000004,21.47,24.65714286,18.95714286,79.57,5.71
1.0,67,0.0,0.0,0.0,18.4,20.92857143,16.7,81.57,7.57
1.0,68,0.0,0.0,0.0,23.54,27.07142857,20.75714286,79.71,1.43
1.0,69,0.32,0.646727606,0.324175824,21.77,24.41428571,19.5,78.43,3.33
1.0,70,0.19,0.436214286,0.19047619,21.89,25.67142857,19.05714286,78.0,4.0
1.0,71,0.77,11.07137222,0.7675055559999999,23.54,25.97142857,21.91428571,91.57,43.36
1.0,72,0.28,1.32616,0.21331999999999998,25.5,28.87142857,22.98571429,86.29,7.0
1.0,73,0.08,0.360571429,0.08094285700000001,25.8,28.7,24.12857143,87.57,8.43
1.0,74,0.2,0.5008393870000001,0.19540211600000001,27.9,31.62857143,24.62857143,76.71,0.03
1.0,75,0.19,0.54825,0.194366667,27.51,31.07142857,24.65714286,77.0,4.0
1.0,76,0.0,0.0,0.0,26.94,30.0,24.75714286,82.71,20.93
1.0,77,0.08,0.41128571399999997,0.075702076,27.73,30.74285714,25.12857143,77.14,0.83
1.0,78,0.25,0.631542125,0.230456044,28.6,31.94285714,25.67142857,73.0,0.0
1.0,79,0.11,0.370333333,0.111111111,28.94,32.08571429,26.04285714,74.0,0.43
1.0,80,0.56,2.8024166669999997,0.5555,28.61,32.77142857,25.22857143,70.14,1.43
1.0,81,0.0,0.0,0.0,27.0,30.35714286,24.25714286,79.86,4.92
1.0,82,0.28,0.682566667,0.275,28.63,32.05714286,25.58571429,77.14,0.0
1.0,83,0.21,0.5252899999999999,0.21,28.39,32.04285714,25.47142857,76.14,0.36
1.0,84,0.14,0.538166667,0.14285714300000002,29.24,33.04285714,26.1,73.57,0.0
1.0,85,0.63,3.137,0.625,28.09,32.04285714,25.31428571,73.71,1.43
1.0,86,0.29,0.91834127,0.23809523800000001,27.86,31.38571429,25.48571429,77.71,6.44
1.0,87,0.18,0.7807033329999999,0.17697619,28.04,31.0,25.17142857,76.71,2.42
1.0,88,0.14,0.558036364,0.14135757599999998,25.96,29.52857143,23.4,77.86,7.29
1.0,89,0.0,0.0,0.0,27.81,31.3,24.48571429,72.71,1.3
1.0,90,0.29,1.592124444,0.24188571399999997,27.14,31.17142857,23.37142857,75.57,41.83
1.0,91,0.07,0.147785714,0.071428571,26.13,29.3,23.54285714,72.43,25.14
1.0,92,0.13,0.26875,0.125,26.49,30.61428571,23.35714286,69.43,0.36
1.0,93,0.0,0.0,0.0,26.49,29.54285714,23.91428571,80.14,19.07
1.0,94,1.2,11.80555556,0.740611111,24.09,27.65714286,21.28571429,73.43,2.71
1.0,95,0.23,0.603448485,0.22626262600000002,23.41,27.11428571,20.42857143,64.43,0.0
