ID,Time,Denv,BI,CI,HI,Pop,PopDen
1,1 ,0 ,0.50000 ,6.24975 ,0.50000 ,336705,72.77
1,2 ,0 ,0.00000 ,0.00000 ,0.00000 ,336677,72.75
1,3 ,0 ,0.00000 ,0.00000 ,0.00000 ,336649,72.72
1,4 ,0 ,0.00000 ,0.00000 ,0.00000 ,336621,72.70
1,5 ,0 ,0.00000 ,0.00000 ,0.00000 ,336587,72.70
1,6 ,0 ,0.00000 ,0.00000 ,0.00000 ,336553,72.70
1,7 ,0 ,0.00000 ,0.00000 ,0.00000 ,336519,72.70
1,8 ,0 ,0.05714 ,0.19044 ,0.05714 ,336485,72.70
1,9 ,0 ,0.00000 ,0.00000 ,0.00000 ,336443,72.70
1,10 ,0 ,0.00000 ,0.00000 ,0.00000 ,336401,72.70
1,11 ,0 ,0.06667 ,0.16000 ,0.06667 ,336360,72.70
1,12 ,0 ,0.00000 ,0.00000 ,0.00000 ,336318,72.70
1,13 ,0 ,0.00000 ,0.00000 ,0.00000 ,336276,72.70
1,14 ,0 ,0.00000 ,0.00000 ,0.00000 ,336257,72.67
1,15 ,0 ,0.13333 ,0.33333 ,0.13333 ,336197,72.65
1,16 ,0 ,0.18000 ,0.43053 ,0.18000 ,336136,72.62
1,17 ,0 ,0.50000 ,1.38875 ,0.50000 ,336076,72.60
1,18 ,0 ,0.00000 ,0.00000 ,0.00000 ,336062,72.60
1,19 ,0 ,0.16667 ,0.39813 ,0.16667 ,336048,72.60
1,20 ,0 ,0.00000 ,0.00000 ,0.00000 ,336034,72.60
1,21 ,0 ,0.00000 ,0.00000 ,0.00000 ,336020,72.60
1,22 ,0 ,0.00000 ,0.00000 ,0.00000 ,335963,72.57
1,23 ,0 ,0.25714 ,0.46180 ,0.25714 ,335907,72.55
1,24 ,0 ,0.00000 ,0.00000 ,0.00000 ,335850,72.52
1,25 ,0 ,0.00000 ,0.00000 ,0.00000 ,335794,72.50
1,26 ,0 ,0.00000 ,0.00000 ,0.00000 ,335738,72.48
1,27 ,1 ,0.40000 ,0.52620 ,0.40000 ,335726,72.50
1,28 ,0 ,0.00000 ,0.00000 ,0.00000 ,335658,72.50
