ID,Time,Denv,BI,CI,HI,Pop,Pop_Den
1.0,1,0.0,0.5,6.24975,0.5,336704.9965,72.77498711
1.0,2,0.0,0.0,0.0,0.0,336676.9953,72.74998282
1.0,3,0.0,0.0,0.0,0.0,336648.9965,72.72498711
1.0,4,0.0,0.0,0.0,0.0,336621.0,72.7
1.0,5,0.0,0.0,0.0,0.0,336586.9948,72.7
1.0,6,0.0,0.0,0.0,0.0,336552.9931,72.7
1.0,7,0.0,0.0,0.0,0.0,336518.9948,72.7
1.0,8,0.0,0.06,0.19044,0.057142857000000005,336485.0,72.7
1.0,9,0.0,0.0,0.0,0.0,336443.2422,72.7
1.0,10,0.0,0.0,0.0,0.0,336401.4896,72.7
1.0,11,0.0,0.07,0.16,0.066666667,336359.7422,72.7
1.0,12,0.0,0.0,0.0,0.0,336318.0,72.7
1.0,13,0.0,0.0,0.0,0.0,336276.263,72.7
1.0,14,0.0,0.0,0.0,0.0,336257.4837,72.67498709
1.0,15,0.0,0.13,0.333333333,0.133333333,336196.9782,72.64998279
1.0,16,0.0,0.18,0.43053333299999996,0.18,336136.4837,72.6249871
1.0,17,0.0,0.5,1.38875,0.5,336076.0,72.6
1.0,18,0.0,0.0,0.0,0.0,336061.9991,72.6
1.0,19,0.0,0.17,0.398125,0.166666667,336047.9988,72.6
1.0,20,0.0,0.0,0.0,0.0,336033.9991,72.6
1.0,21,0.0,0.0,0.0,0.0,336020.0,72.6
1.0,22,0.0,0.0,0.0,0.0,335963.4857,72.57498708
1.0,23,0.0,0.26,0.4618,0.257142857,335906.981,72.54998277
1.0,24,1.0,0.0,0.0,0.0,335850.4857,72.52498708
1.0,25,0.0,0.0,0.0,0.0,335794.0,72.5
1.0,26,0.0,0.0,0.0,0.0,335737.5238,72.47502153
1.0,27,0.0,0.4,0.5262,0.4,335725.9793,72.5
1.0,28,0.0,0.0,0.0,0.0,335657.9724,72.5
1.0,29,0.0,0.0,0.0,0.0,335589.9793,72.5
1.0,30,0.0,0.0,0.0,0.0,335522.0,72.5
1.0,31,0.0,0.0,0.0,0.0,335474.2398,72.47498706
1.0,32,0.0,0.0,0.0,0.0,335426.4864,72.44998275
1.0,33,0.0,0.33,0.5465,0.333333333,335378.7398,72.42498706
1.0,34,0.0,0.0,0.0,0.0,335331.0,72.4
1.0,35,0.0,0.0,0.0,0.0,335320.2495,72.4
1.0,36,0.0,0.0,0.0,0.0,335309.4993,72.4
1.0,37,0.0,0.25,0.543375,0.25,335298.7495,72.4
1.0,38,0.0,0.0,0.0,0.0,335288.0,72.4
1.0,39,0.0,0.0,0.0,0.0,335277.2509,72.4
