,County,YYYY_WW,BI,CI,HI,Temperature,T Max,T Min,RH,Precp
0,Hsinchu,2012_01,0.8268295454545455,3.773273593073593,0.7493636363636363,14.02857142857143,16.985714285714288,12.028571428571428,85.0,7.5
1,Hsinchu,2012_02,0.8227333333333334,5.657046666666666,0.692,16.942857142857143,19.342857142857145,15.314285714285715,85.71428571428571,2.0811766003197882
2,Hsinchu,2012_03,0.09333333333333334,0.7936111111111112,0.09333333333333334,16.642857142857146,19.914285714285715,14.742857142857144,88.14285714285714,5.342857142857143
3,Hsinchu,2012_04,0.1115625,0.6944375,0.1115625,13.500000000000002,16.02857142857143,11.614285714285714,89.85714285714286,7.233445443017038
4,Hsinchu,2012_05,0.8655333333333333,4.80685,0.8334833333333332,14.928571428571429,17.485714285714284,13.214285714285714,88.42857142857143,2.0240337431769313
5,Hsinchu,2012_06,0.5096666666666666,1.8576555555555554,0.5096666666666666,14.385714285714286,17.885714285714286,12.314285714285715,91.0,5.971428571428572
6,Hsinchu,2012_07,0.6093888888888889,1.64525,0.6093888888888889,15.385714285714286,18.457142857142856,13.228571428571428,90.57142857142857,2.233445443017037
7,Hsinchu,2012_08,1.4149333333333334,8.27915,1.4149333333333334,16.242857142857144,19.914285714285715,13.742857142857142,91.28571428571429,15.485714285714286
8,Hsinchu,2012_09,1.4382208333333333,3.802204166666667,1.4382208333333333,14.757142857142858,18.385714285714283,12.485714285714284,92.71428571428571,9.228571428571428
9,Hsinchu,2012_10,0.27475,0.8412,0.27475,15.34285714285714,18.585714285714285,12.942857142857145,88.14285714285714,5.042857142857143
10,Hsinchu,2012_11,0.6418595238095238,3.9476777777777783,0.5960738095238095,16.428571428571427,19.814285714285713,14.142857142857142,88.0,7.042857142857143
11,Hsinchu,2012_12,0.5833333333333334,3.3380694444444448,0.5833333333333334,18.17142857142857,22.442857142857143,14.92857142857143,83.14285714285714,0.7142857142857143
12,Hsinchu,2012_13,0.5739,2.8623958333333337,0.5739,19.87142857142857,25.3,14.7,61.285714285714285,1.0
13,Hsinchu,2012_14,0.3403055555555556,2.2955,0.3403055555555556,20.785714285714285,24.900000000000002,17.47142857142857,70.28571428571429,1.6142857142857143
14,Hsinchu,2012_15,1.3700178571428572,8.68507142857143,1.0354107142857143,24.2,27.357142857142858,21.442857142857143,79.0,1.5763025858741797
15,Hsinchu,2012_16,0.598,4.8212222222222225,0.598,23.171428571428574,27.257142857142856,20.642857142857142,83.14285714285714,16.985714285714288
16,Hsinchu,2012_17,0.37223636363636364,1.8257512626262626,0.37223636363636364,24.000000000000004,28.34285714285715,20.7,81.0,29.27142857142857
17,Hsinchu,2012_18,1.733625,4.411819444444444,1.733625,25.757142857142856,30.3,22.071428571428573,76.42857142857143,8.685714285714285
18,Hsinchu,2012_19,0.7506904761904761,4.5216666666666665,0.7506904761904761,25.71428571428571,30.057142857142857,21.657142857142862,75.57142857142857,1.4142857142857144
19,Hsinchu,2012_20,1.3485000000000003,5.518583333333333,1.2651666666666668,26.12857142857143,30.24285714285714,22.942857142857143,82.71428571428571,11.814285714285713
20,Hsinchu,2012_21,0.7786742857142858,5.187491666666667,0.7786742857142858,25.54285714285714,29.771428571428572,22.257142857142856,76.57142857142857,6.657142857142857
21,Hsinchu,2012_22,1.12825,3.1586666666666665,1.12825,25.87142857142857,28.799999999999994,23.814285714285713,84.85714285714286,8.185714285714285
22,Hsinchu,2012_23,0.4745714285714286,11.356083333333332,0.4745714285714286,27.82857142857143,31.11428571428571,25.342857142857138,83.0,0.2285714285714286
23,Hsinchu,2012_24,2.538136904761905,11.38332738095238,2.066386904761905,27.428571428571434,30.771428571428572,24.842857142857145,84.42857142857143,41.01428571428573
24,Hsinchu,2012_25,0.47916666666666663,2.4097083333333336,0.47916666666666663,27.128571428571433,30.728571428571428,24.657142857142855,88.71428571428571,17.3
25,Hsinchu,2012_26,1.0799999999999998,4.669730952380952,0.8309857142857142,29.28571428571429,33.114285714285714,26.185714285714287,79.0,2.414285714285714
26,Hsinchu,2012_27,1.0856944444444445,7.413435185185185,1.0856944444444445,29.442857142857143,33.15714285714286,25.97142857142857,76.85714285714286,0.12857142857142856
27,Hsinchu,2012_28,1.2940277777777778,5.185116666666667,1.1936666666666667,30.5,34.457142857142856,27.442857142857143,71.71428571428571,0.0
28,Hsinchu,2012_29,0.424,1.675863095238095,0.424,30.457142857142856,35.142857142857146,27.071428571428573,73.14285714285714,1.5571428571428572
29,Hsinchu,2012_30,1.0498571428571428,5.701178571428572,0.8117619047619049,28.642857142857142,32.92857142857143,26.042857142857144,79.28571428571429,3.8000000000000003
30,Hsinchu,2012_31,0.9084555555555555,3.5442444444444448,0.9084555555555555,28.128571428571433,31.571428571428573,25.614285714285717,80.28571428571429,72.42857142857142
31,Hsinchu,2012_32,0.20408163265306123,0.9851944444444444,0.20408163265306123,29.485714285714288,33.27142857142857,26.58571428571429,75.57142857142857,1.0285714285714287
32,Hsinchu,2012_33,0.16428571428571428,0.9911845238095239,0.16428571428571428,28.342857142857145,32.67142857142857,25.228571428571428,81.71428571428571,4.328571428571428
33,Hsinchu,2012_34,0.2333333333333333,0.6822083333333332,0.2333333333333333,28.82857142857143,32.542857142857144,25.942857142857143,79.85714285714286,13.799999999999999
34,Hsinchu,2012_35,0.7018095238095239,2.160395238095238,0.47288095238095235,28.085714285714282,32.0,25.67142857142857,81.85714285714286,3.685714285714286
35,Hsinchu,2012_36,0.7216095238095238,4.920057142857142,0.7216095238095238,28.500000000000004,32.357142857142854,25.385714285714283,78.42857142857143,0.0
36,Hsinchu,2012_37,0.30272108843537415,1.3844319727891157,0.30272108843537415,27.914285714285715,30.88571428571429,25.32857142857143,79.28571428571429,5.957142857142857
37,Hsinchu,2012_38,0.5726071428571428,1.8411071428571428,0.5726071428571428,25.3,29.442857142857147,22.185714285714287,75.28571428571429,0.5428571428571428
38,Hsinchu,2012_39,0.5557321428571428,2.865115306122449,0.4492857142857143,26.185714285714287,29.328571428571426,24.25714285714286,72.28571428571429,2.085714285714286
39,Hsinchu,2012_40,0.5235,2.3900277777777776,0.5235,24.014285714285712,28.37142857142857,20.84285714285715,65.0,0.0
40,Hsinchu,2012_41,0.5861591836734694,2.981314285714286,0.5861591836734694,23.900000000000002,27.328571428571422,21.800000000000004,67.85714285714286,0.0
41,Hsinchu,2012_42,0.8092107142857142,2.2800433673469387,0.8092107142857142,23.085714285714282,27.52857142857142,19.842857142857145,69.85714285714286,0.0
