"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","/","...","/","","/","","28.8","/","","/","","...","/","/","","1.0","330","/","/","","0.0","...","...","","...","","8.3","...","...","...","...","...","","..."
"02","/","...","/","","/","","28.9","/","","/","","...","/","/","","0.9","160","/","/","","0.0","...","...","","...","","8.6","...","...","...","...","...","","..."
"03","/","...","/","","/","","28.2","/","","/","","...","/","/","","1.1","330","/","/","","0.0","...","...","","...","","6.5","...","...","...","...","...","","..."
"04","/","...","/","","/","","26.2","/","","/","","...","/","/","","1.9","340","/","/","","0.0","...","...","","...","","5.6","...","...","...","...","...","","..."
"05","/","...","/","","/","","24.7","/","","/","","...","/","/","","0.9","330","/","/","","0.0","...","...","","...","","0.0","...","...","...","...","...","","..."
"06","/","...","/","","/","","25.9","/","","/","","...","/","/","","0.7","330","/","/","","0.0","...","...","","...","","1.0","...","...","...","...","...","","..."
"07","/","...","/","","/","","27.2","/","","/","","...","/","/","","1.3","330","/","/","","0.0","...","...","","...","","5.9","...","...","...","...","...","","..."
"08","/","...","/","","/","","26.3","/","","/","","...","/","/","","1.3","330","/","/","","0.0","...","...","","...","","0.4","...","...","...","...","...","","..."
"09","/","...","/","","/","","26.6","/","","/","","...","/","/","","1.4","330","/","/","","0.0","...","...","","...","","5.2","...","...","...","...","...","","..."
"10","/","...","/","","/","","28.1","/","","/","","...","/","/","","0.6","250","/","/","","0.0","...","...","","...","","4.9","...","...","...","...","...","","..."
"11","/","...","/","","/","","27.8","/","","/","","...","/","/","","0.8","330","/","/","","0.0","...","...","","...","","8.6","...","...","...","...","...","","..."
"12","/","...","/","","/","","28.1","/","","/","","...","/","/","","1.1","330","/","/","","0.0","...","...","","...","","9.6","...","...","...","...","...","","..."
"13","/","...","/","","/","","28.5","/","","/","","...","/","/","","0.7","330","/","/","","0.0","...","...","","...","","4.6","...","...","...","...","...","","..."
"14","/","...","/","","/","","28.4","/","","/","","...","/","/","","1.3","330","/","/","","0.0","...","...","","...","","8.6","...","...","...","...","...","","..."
"15","/","...","/","","/","","26.4","/","","/","","...","/","/","","1.9","330","/","/","","0.0","...","...","","...","","5.0","...","...","...","...","...","","..."
"16","/","...","/","","/","","26.5","/","","/","","...","/","/","","0.9","330","/","/","","0.0","...","...","","...","","8.9","...","...","...","...","...","","..."
"17","/","...","/","","/","","27.5","/","","/","","...","/","/","","1.1","330","/","/","","0.0","...","...","","...","","8.0","...","...","...","...","...","","..."
"18","/","...","/","","/","","26.3","/","","/","","...","/","/","","1.2","330","/","/","","0.0","...","...","","...","","4.5","...","...","...","...","...","","..."
"19","/","...","/","","/","","26.5","/","","/","","...","/","/","","1.2","330","/","/","","0.0","...","...","","...","","2.2","...","...","...","...","...","","..."
"20","/","...","/","","/","","26.6","/","","/","","...","/","/","","2.0","340","/","/","","0.0","...","...","","...","","0.9","...","...","...","...","...","","..."
"21","/","...","/","","/","","24.7","/","","/","","...","/","/","","2.2","350","/","/","","1.5","...","...","","...","","0.7","...","...","...","...","...","","..."
"22","/","...","/","","/","","24.8","/","","/","","...","/","/","","1.0","20","/","/","","4.5","...","...","","...","","0.5","...","...","...","...","...","","..."
"23","/","...","/","","/","","26.1","/","","/","","...","/","/","","1.7","170","/","/","","0.0","...","...","","...","","0.7","...","...","...","...","...","","..."
"24","/","...","/","","/","","27.1","/","","/","","...","/","/","","2.3","200","/","/","","0.0","...","...","","...","","6.9","...","...","...","...","...","","..."
"25","/","...","/","","/","","26.1","/","","/","","...","/","/","","1.9","330","/","/","","0.0","...","...","","...","","8.9","...","...","...","...","...","","..."
"26","/","...","/","","/","","22.5","/","","/","","...","/","/","","3.8","350","/","/","","0.0","...","...","","...","","9.5","...","...","...","...","...","","..."
"27","/","...","/","","/","","20.2","/","","/","","...","/","/","","4.1","350","/","/","","0.0","...","...","","...","","3.7","...","...","...","...","...","","..."
"28","/","...","/","","/","","19.5","/","","/","","...","/","/","","3.6","350","/","/","","0.0","...","...","","...","","8.2","...","...","...","...","...","","..."
"29","/","...","/","","/","","19.6","/","","/","","...","/","/","","2.1","340","/","/","","0.0","...","...","","...","","5.0","...","...","...","...","...","","..."
"30","/","...","/","","/","","20.2","/","","/","","...","/","/","","2.3","340","/","/","","0.0","...","...","","...","","9.7","...","...","...","...","...","","..."
"31","/","...","/","","/","","20.3","/","","/","","...","/","/","","1.9","340","/","/","","0.0","...","...","","...","","10.2","...","...","...","...","...","","..."
