"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","891.4","...","893.2","2015-03-01 09:53","889.8","2015-03-01 15:51","16.0","21.0","2015-03-01 11:11","13.7","2015-03-01 23:46","...","90","73","2015-03-01 11:11","1.0","315","3.7","310","2015-03-01 13:31","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","889.0","...","891.5","2015-03-02 00:01","886.9","2015-03-02 18:06","14.4","18.8","2015-03-02 13:54","12.4","2015-03-02 23:02","...","95","77","2015-03-02 13:54","1.2","315","4.1","274","2015-03-02 11:18","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","887.5","...","889.5","2015-03-03 09:01","885.7","2015-03-03 14:52","17.0","26.1","2015-03-03 12:53","11.9","2015-03-03 02:44","...","83","41","2015-03-03 12:53","1.3","128","5.0","233","2015-03-03 10:42","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","889.0","...","890.9","2015-03-04 20:52","886.8","2015-03-04 02:27","16.2","20.4","2015-03-04 12:34","14.1","2015-03-04 00:43","...","88","71","2015-03-04 03:21","1.1","322","4.4","241","2015-03-04 13:34","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","890.3","...","891.7","2015-03-05 08:31","888.8","2015-03-05 14:31","16.2","21.4","2015-03-05 09:11","13.6","2015-03-05 19:44","...","89","59","2015-03-05 09:11","1.3","142","3.9","114","2015-03-05 04:37","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","890.4","...","892.3","2015-03-06 09:31","888.7","2015-03-06 14:51","16.2","21.9","2015-03-06 14:34","14.0","2015-03-06 03:34","...","92","63","2015-03-06 12:23","1.2","140","5.2","146","2015-03-06 03:03","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","891.1","...","892.5","2015-03-07 09:34","890.0","2015-03-07 15:31","16.2","22.2","2015-03-07 13:12","13.6","2015-03-07 05:51","...","92","63","2015-03-07 09:21","1.0","320","3.4","330","2015-03-07 12:51","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","891.1","...","892.5","2015-03-08 09:11","889.7","2015-03-08 15:12","16.0","21.7","2015-03-08 12:52","13.8","2015-03-08 05:21","...","92","70","2015-03-08 09:32","1.1","320","3.5","324","2015-03-08 10:58","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","891.5","...","893.4","2015-03-09 22:22","890.0","2015-03-09 14:31","16.3","20.7","2015-03-09 10:01","14.3","2015-03-09 02:18","...","87","68","2015-03-09 04:33","1.5","329","5.8","128","2015-03-09 05:52","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","892.7","...","893.9","2015-03-10 09:21","891.5","2015-03-10 14:41","13.3","16.1","2015-03-10 02:39","10.7","2015-03-10 18:11","...","95","82","2015-03-10 00:47","1.2","277","4.5","120","2015-03-10 23:05","4.5","...","...","","...","","...","...","...","...","...","...","","..."
"11","892.3","...","893.7","2015-03-11 00:12","890.9","2015-03-11 16:26","12.4","14.8","2015-03-11 20:45","10.6","2015-03-11 05:12","...","98","82","2015-03-11 20:45","1.4","124","4.5","110","2015-03-11 04:14","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"12","891.3","...","892.6","2015-03-12 10:21","889.5","2015-03-12 15:01","13.3","16.7","2015-03-12 13:31","10.6","2015-03-12 06:05","...","97","76","2015-03-12 15:01","1.4","83","4.9","117","2015-03-12 19:53","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","891.7","...","893.5","2015-03-13 21:25","889.7","2015-03-13 03:27","15.1","21.6","2015-03-13 14:01","10.3","2015-03-13 03:42","...","88","49","2015-03-13 07:31","1.1","118","4.3","313","2015-03-13 12:26","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","892.6","...","894.2","2015-03-14 10:15","891.6","2015-03-14 03:51","16.7","23.5","2015-03-14 13:51","12.6","2015-03-14 01:41","...","87","55","2015-03-14 07:26","1.1","125","3.2","333","2015-03-14 13:06","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","892.1","...","893.4","2015-03-15 08:11","890.6","2015-03-15 14:18","18.1","25.4","2015-03-15 11:31","13.5","2015-03-15 03:21","...","87","52","2015-03-15 10:41","1.0","1","3.7","6","2015-03-15 14:28","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","891.5","...","893.2","2015-03-16 10:22","890.1","2015-03-16 15:27","18.4","25.1","2015-03-16 13:12","15.3","2015-03-16 04:33","...","90","65","2015-03-16 13:12","0.9","124","3.5","122","2015-03-16 04:46","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","889.4","...","891.9","2015-03-17 09:12","887.1","2015-03-17 18:03","18.8","25.3","2015-03-17 12:15","15.8","2015-03-17 03:33","...","90","69","2015-03-17 11:43","1.1","303","3.8","305","2015-03-17 12:21","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","888.1","...","889.7","2015-03-18 10:31","886.9","2015-03-18 15:25","19.7","27.9","2015-03-18 14:12","13.9","2015-03-18 05:21","...","74","19","2015-03-18 08:45","1.3","129","5.0","126","2015-03-18 21:02","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","889.3","...","890.7","2015-03-19 08:51","887.9","2015-03-19 14:31","21.3","29.4","2015-03-19 12:41","16.9","2015-03-19 06:21","...","67","36","2015-03-19 12:53","1.1","12","5.7","337","2015-03-19 13:38","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","890.4","...","892.0","2015-03-20 10:23","889.1","2015-03-20 02:31","19.3","25.0","2015-03-20 09:12","16.2","2015-03-20 23:34","...","82","42","2015-03-20 09:02","1.0","314","3.8","341","2015-03-20 12:06","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","890.7","...","892.0","2015-03-21 09:14","889.4","2015-03-21 16:11","17.3","22.6","2015-03-21 08:34","14.9","2015-03-21 02:21","...","92","51","2015-03-21 08:21","1.2","330","3.6","117","2015-03-21 18:12","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"22","891.0","...","892.6","2015-03-22 21:43","889.7","2015-03-22 04:21","16.7","20.0","2015-03-22 11:32","15.3","2015-03-22 04:32","...","96","84","2015-03-22 09:11","1.0","13","3.4","136","2015-03-22 22:57","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"23","891.6","...","893.8","2015-03-23 20:51","890.0","2015-03-23 04:05","15.3","20.3","2015-03-23 10:05","12.6","2015-03-23 23:59","...","95","78","2015-03-23 09:21","1.1","118","4.8","131","2015-03-23 22:21","8.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","893.1","...","895.0","2015-03-24 21:21","891.3","2015-03-24 02:05","15.8","21.2","2015-03-24 11:42","12.2","2015-03-24 00:03","...","95","72","2015-03-24 11:48","1.3","130","4.2","275","2015-03-24 10:45","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"25","895.4","...","897.0","2015-03-25 22:41","893.4","2015-03-25 02:49","14.1","16.1","2015-03-25 11:21","13.4","2015-03-25 03:42","...","99","94","2015-03-25 11:21","0.9","333","3.1","118","2015-03-25 21:40","3.0","...","...","","...","","...","...","...","...","...","...","","..."
"26","895.9","...","897.0","2015-03-26 10:31","894.8","2015-03-26 03:51","15.2","20.4","2015-03-26 11:31","13.4","2015-03-26 05:41","...","97","79","2015-03-26 10:55","0.9","315","3.2","216","2015-03-26 11:59","0.0","...","...","","...","","...","...","...","...","...","...","","..."
