"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","988.9","...","992.6","2016-08-01 23:41","986.5","2016-08-01 05:54","28.2","33.2","2016-08-01 09:02","24.6","2016-08-01 04:15","...","86","65","2016-08-01 09:29","1.4","198","8.9","223","2016-08-01 11:30","4.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","993.9","...","997.1","2016-08-02 22:41","991.7","2016-08-02 02:24","27.4","35.1","2016-08-02 12:11","24.9","2016-08-02 05:41","...","86","54","2016-08-02 12:11","1.2","212","7.5","39","2016-08-02 14:12","13.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","996.3","...","998.3","2016-08-03 22:22","994.5","2016-08-03 02:13","28.5","33.5","2016-08-03 11:51","24.3","2016-08-03 05:21","...","80","56","2016-08-03 11:51","1.2","271","5.5","261","2016-08-03 14:56","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","996.7","...","998.1","2016-08-04 21:51","995.0","2016-08-04 15:54","29.0","34.5","2016-08-04 13:03","25.9","2016-08-04 05:21","...","79","58","2016-08-04 12:36","1.4","309","5.5","346","2016-08-04 13:29","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","995.0","...","997.5","2016-08-05 00:01","992.8","2016-08-05 16:01","28.8","34.1","2016-08-05 12:21","24.8","2016-08-05 05:11","...","78","56","2016-08-05 11:51","1.4","270","6.9","230","2016-08-05 14:16","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","990.8","...","993.7","2016-08-06 00:01","988.2","2016-08-06 16:21","28.5","34.5","2016-08-06 14:23","25.5","2016-08-06 02:23","...","82","63","2016-08-06 14:31","1.5","258","8.0","102","2016-08-06 15:09","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","989.2","...","991.2","2016-08-07 22:09","987.1","2016-08-07 14:55","29.1","35.4","2016-08-07 12:53","25.1","2016-08-07 04:11","...","81","58","2016-08-07 11:44","1.4","324","7.4","351","2016-08-07 14:35","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","989.6","...","991.4","2016-08-08 08:22","987.6","2016-08-08 15:21","29.3","35.7","2016-08-08 13:14","25.3","2016-08-08 05:22","...","78","52","2016-08-08 14:14","1.5","278","7.1","322","2016-08-08 16:09","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","988.8","...","990.2","2016-08-09 22:03","986.5","2016-08-09 15:53","29.1","35.2","2016-08-09 13:53","25.6","2016-08-09 04:02","...","80","55","2016-08-09 12:45","1.4","306","6.7","297","2016-08-09 15:03","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","989.9","...","991.5","2016-08-10 09:05","988.4","2016-08-10 15:13","28.4","35.0","2016-08-10 13:15","24.3","2016-08-10 05:42","...","79","54","2016-08-10 09:22","1.3","185","8.0","69","2016-08-10 15:32","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"11","989.4","...","991.2","2016-08-11 21:39","987.6","2016-08-11 14:51","27.6","31.6","2016-08-11 12:14","24.9","2016-08-11 07:41","...","87","64","2016-08-11 13:26","1.3","128","6.3","251","2016-08-11 14:05","18.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","990.5","...","991.8","2016-08-12 08:53","989.3","2016-08-12 14:18","26.1","28.5","2016-08-12 10:12","24.3","2016-08-12 21:26","...","93","80","2016-08-12 10:16","1.3","229","5.9","233","2016-08-12 10:16","14.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","989.9","...","991.1","2016-08-13 20:51","988.7","2016-08-13 14:02","26.5","31.4","2016-08-13 11:15","24.0","2016-08-13 03:41","...","90","69","2016-08-13 11:22","1.0","25","7.8","235","2016-08-13 13:42","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"14","989.1","...","990.4","2016-08-14 21:13","987.4","2016-08-14 14:56","28.2","34.0","2016-08-14 13:11","24.9","2016-08-14 04:53","...","85","60","2016-08-14 13:13","1.1","273","6.2","300","2016-08-14 16:41","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"15","988.8","...","989.8","2016-08-15 00:01","987.1","2016-08-15 14:41","27.8","34.0","2016-08-15 11:51","24.9","2016-08-15 04:11","...","87","61","2016-08-15 12:52","1.3","275","7.5","217","2016-08-15 16:20","22.5","...","...","","...","","...","...","...","...","...","...","","..."
"16","989.2","...","990.9","2016-08-16 20:24","987.9","2016-08-16 02:53","26.8","33.4","2016-08-16 12:21","24.5","2016-08-16 05:31","...","88","65","2016-08-16 10:31","1.2","165","6.4","235","2016-08-16 14:34","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","989.7","...","991.5","2016-08-17 20:57","988.2","2016-08-17 14:16","26.9","34.0","2016-08-17 13:05","24.3","2016-08-17 03:47","...","87","53","2016-08-17 12:01","1.1","269","7.0","259","2016-08-17 15:45","22.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","990.7","...","993.1","2016-08-18 21:47","988.6","2016-08-18 02:24","27.2","33.6","2016-08-18 12:22","23.6","2016-08-18 04:31","...","85","59","2016-08-18 10:41","1.3","234","8.3","271","2016-08-18 17:19","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"19","992.7","...","994.2","2016-08-19 21:51","991.1","2016-08-19 03:41","26.9","34.6","2016-08-19 12:45","23.7","2016-08-19 16:36","...","86","60","2016-08-19 12:45","1.3","179","8.0","122","2016-08-19 15:16","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"20","992.1","...","994.0","2016-08-20 07:01","989.5","2016-08-20 15:41","28.0","34.0","2016-08-20 12:25","23.2","2016-08-20 04:01","...","79","56","2016-08-20 11:05","1.5","206","6.0","277","2016-08-20 15:03","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","990.8","...","992.1","2016-08-21 22:41","989.5","2016-08-21 15:11","28.6","34.3","2016-08-21 12:41","24.7","2016-08-21 04:26","...","80","60","2016-08-21 12:02","1.3","124","5.8","283","2016-08-21 13:11","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"22","991.9","...","...","","...","","29.3","...","","...","","...","81","...","","1.4","324","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"23","991.3","...","...","","...","","29.4","...","","...","","...","80","...","","1.4","181","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","990.5","...","992.0","2016-08-24 21:16","989.2","2016-08-24 14:59","29.7","34.7","2016-08-24 11:54","26.6","2016-08-24 23:51","...","80","58","2016-08-24 11:54","1.5","164","6.1","302","2016-08-24 15:05","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"25","991.1","...","992.8","2016-08-25 09:33","989.5","2016-08-25 16:52","29.1","34.0","2016-08-25 10:31","25.7","2016-08-25 03:01","...","80","63","2016-08-25 11:51","1.3","270","6.0","276","2016-08-25 14:02","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"26","991.9","...","994.3","2016-08-26 23:03","990.2","2016-08-26 15:15","29.2","34.4","2016-08-26 12:11","25.6","2016-08-26 23:51","...","79","56","2016-08-26 14:52","1.4","145","6.5","325","2016-08-26 15:36","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"27","993.0","...","995.0","2016-08-27 09:05","991.1","2016-08-27 14:42","29.4","35.0","2016-08-27 13:56","25.0","2016-08-27 06:01","...","78","54","2016-08-27 13:56","1.4","203","6.6","27","2016-08-27 14:10","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"28","992.5","...","994.0","2016-08-28 08:55","990.9","2016-08-28 15:47","27.4","33.5","2016-08-28 10:56","24.4","2016-08-28 22:31","...","83","61","2016-08-28 11:01","1.5","193","7.7","295","2016-08-28 11:44","6.0","...","...","","...","","...","...","...","...","...","...","","..."
"29","993.1","...","994.9","2016-08-29 22:33","991.7","2016-08-29 02:54","27.2","33.4","2016-08-29 13:32","24.1","2016-08-29 06:18","...","73","52","2016-08-29 13:21","1.5","352","6.8","360","2016-08-29 15:36","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"30","994.2","...","995.8","2016-08-30 08:44","992.7","2016-08-30 14:33","25.7","29.1","2016-08-30 12:11","23.8","2016-08-30 23:54","...","81","67","2016-08-30 13:42","1.1","272","5.0","158","2016-08-30 16:24","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"31","993.2","...","994.7","2016-08-31 10:33","991.5","2016-08-31 14:35","27.4","33.4","2016-08-31 15:13","23.6","2016-08-31 23:43","...","72","47","2016-08-31 15:24","1.3","273","5.0","305","2016-08-31 13:07","0.0","...","...","","...","","...","...","...","...","...","...","","..."
