"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","/","...","/","","/","","19.2","/","","/","","...","/","/","","1.8","360","/","/","","0.0","...","...","","...","","9.0","...","...","...","...","...","","..."
"02","/","...","/","","/","","20.0","/","","/","","...","/","/","","1.3","360","/","/","","0.0","...","...","","...","","8.6","...","...","...","...","...","","..."
"03","/","...","/","","/","","20.9","/","","/","","...","/","/","","2.7","20","/","/","","0.0","...","...","","...","","6.1","...","...","...","...","...","","..."
"04","/","...","/","","/","","16.0","/","","/","","...","/","/","","7.6","30","/","/","","0.0","...","...","","...","","0.0","...","...","...","...","...","","..."
"05","/","...","/","","/","","16.4","/","","/","","...","/","/","","6.4","30","/","/","","0.0","...","...","","...","","0.3","...","...","...","...","...","","..."
"06","/","...","/","","/","","19.0","/","","/","","...","/","/","","3.7","30","/","/","","0.0","...","...","","...","","7.6","...","...","...","...","...","","..."
"07","/","...","/","","/","","20.9","/","","/","","...","/","/","","1.1","340","/","/","","0.0","...","...","","...","","9.1","...","...","...","...","...","","..."
"08","/","...","/","","/","","21.6","/","","/","","...","/","/","","3.3","20","/","/","","0.0","...","...","","...","","10.7","...","...","...","...","...","","..."
"09","/","...","/","","/","","21.6","/","","/","","...","/","/","","4.2","20","/","/","","0.0","...","...","","...","","10.1","...","...","...","...","...","","..."
"10","/","...","/","","/","","21.8","/","","/","","...","/","/","","1.1","20","/","/","","0.0","...","...","","...","","5.1","...","...","...","...","...","","..."
"11","/","...","/","","/","","21.9","/","","/","","...","/","/","","3.9","20","/","/","","0.0","...","...","","...","","4.1","...","...","...","...","...","","..."
"12","/","...","/","","/","","21.1","/","","/","","...","/","/","","4.7","30","/","/","","0.0","...","...","","...","","5.1","...","...","...","...","...","","..."
"13","/","...","/","","/","","21.3","/","","/","","...","/","/","","1.7","360","/","/","","0.0","...","...","","...","","7.2","...","...","...","...","...","","..."
"14","/","...","/","","/","","23.2","/","","/","","...","/","/","","1.2","180","/","/","","0.0","...","...","","...","","4.9","...","...","...","...","...","","..."
"15","/","...","/","","/","","24.8","/","","/","","...","/","/","","1.9","250","/","/","","0.0","...","...","","...","","7.9","...","...","...","...","...","","..."
"16","/","...","/","","/","","25.1","/","","/","","...","/","/","","3.2","250","/","/","","0.0","...","...","","...","","4.4","...","...","...","...","...","","..."
"17","/","...","/","","/","","21.9","/","","/","","...","/","/","","3.2","20","/","/","","0.5","...","...","","...","","0.0","...","...","...","...","...","","..."
"18","/","...","/","","/","","22.5","/","","/","","...","/","/","","4.3","20","/","/","","0.0","...","...","","...","","1.1","...","...","...","...","...","","..."
"19","/","...","/","","/","","21.4","/","","/","","...","/","/","","5.0","20","/","/","","0.0","...","...","","...","","10.7","...","...","...","...","...","","..."
"20","/","...","/","","/","","20.8","/","","/","","...","/","/","","3.1","30","/","/","","0.0","...","...","","...","","10.4","...","...","...","...","...","","..."
"21","/","...","/","","/","","21.3","/","","/","","...","/","/","","1.1","340","/","/","","0.0","...","...","","...","","7.5","...","...","...","...","...","","..."
"22","/","...","/","","/","","23.0","/","","/","","...","/","/","","2.0","30","/","/","","0.0","...","...","","...","","1.3","...","...","...","...","...","","..."
"23","/","...","/","","/","","21.4","/","","/","","...","/","/","","5.9","30","/","/","","0.0","...","...","","...","","2.4","...","...","...","...","...","","..."
"24","/","...","/","","/","","21.7","/","","/","","...","/","/","","1.7","350","/","/","","0.0","...","...","","...","","8.2","...","...","...","...","...","","..."
"25","/","...","/","","/","","22.5","/","","/","","...","/","/","","1.1","340","/","/","","0.0","...","...","","...","","1.2","...","...","...","...","...","","..."
"26","/","...","/","","/","","24.2","/","","/","","...","/","/","","1.4","220","/","/","","0.0","...","...","","...","","1.2","...","...","...","...","...","","..."
"27","/","...","/","","/","","25.2","/","","/","","...","/","/","","2.9","180","/","/","","0.0","...","...","","...","","8.3","...","...","...","...","...","","..."
"28","/","...","/","","/","","23.6","/","","/","","...","/","/","","1.9","20","/","/","","0.0","...","...","","...","","0.0","...","...","...","...","...","","..."
"29","/","...","/","","/","","23.4","/","","/","","...","/","/","","1.3","20","/","/","","3.0","...","...","","...","","/","...","...","...","...","...","","..."
"30","/","...","/","","/","","24.5","/","","/","","...","/","/","","1.2","180","/","/","","0.5","...","...","","...","","/","...","...","...","...","...","","..."
