"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","998.8","1009.3","1000.2","2012-07-01 08:42","997.0","2012-07-01 15:26","28.3","30.6","2012-07-01 12:26","26.2","2012-07-01 05:20","23.2","74","64","2012-07-01 14:21","5.4","180","13.9","180","2012-07-01 17:03","0.0","0.0","0.0","","0.0","","12.9","94.1","28.93","26.7","6.0","11","2012-07-01 13:00","2.2"
"02","996.0","1006.5","998.5","2012-07-02 00:01","993.6","2012-07-02 16:15","28.3","31.4","2012-07-02 11:31","26.1","2012-07-02 04:22","23.0","74","60","2012-07-02 13:15","6.1","180","17.3","180","2012-07-02 17:49","0.0","0.0","0.0","","0.0","","13.0","94.9","28.97","16.7","7.5","10","2012-07-02 12:00","0.0"
"03","993.5","1004.0","995.0","2012-07-03 00:04","991.4","2012-07-03 16:49","28.1","31.2","2012-07-03 12:28","25.9","2012-07-03 05:09","23.0","74","60","2012-07-03 12:06","6.5","200","14.8","190","2012-07-03 17:19","0.0","0.0","0.0","","0.0","","12.9","94.2","29.05","12.0","6.0","10","2012-07-03 13:00","0.3"
"04","994.8","1005.3","996.9","2012-07-04 22:19","993.2","2012-07-04 03:07","27.5","31.6","2012-07-04 12:20","25.7","2012-07-04 05:58","23.9","81","70","2012-07-04 11:37","2.8","200","11.3","200","2012-07-04 06:20","0.0","0.0","0.0","","0.0","","12.7","92.8","28.72","15.3","5.6","10","2012-07-04 13:00","1.3"
"05","996.6","1007.0","998.4","2012-07-05 22:38","995.5","2012-07-05 01:55","28.4","32.3","2012-07-05 12:30","25.2","2012-07-05 03:13","23.6","76","60","2012-07-05 17:37","3.1","210","18.6","210","2012-07-05 18:02","0.0","0.0","0.0","","0.0","","11.8","86.2","27.11","13.3","7.6","10","2012-07-05 12:00","4.5"
"06","996.4","1006.9","998.1","2012-07-06 00:01","994.8","2012-07-06 17:01","28.8","31.4","2012-07-06 12:50","26.8","2012-07-06 23:58","23.0","71","63","2012-07-06 15:33","5.2","220","16.1","190","2012-07-06 18:44","0.0","0.0","0.0","","0.0","","13.0","95.1","27.67","29.2","7.1","11","2012-07-06 12:00","4.2"
"07","995.2","1005.6","996.6","2012-07-07 08:36","993.3","2012-07-07 16:53","28.0","30.9","2012-07-07 13:43","26.3","2012-07-07 04:40","23.5","77","67","2012-07-07 11:48","6.7","200","18.1","180","2012-07-07 20:04","0.0","0.0","0.0","","0.0","","10.8","79.0","27.28","18.3","7.4","10","2012-07-07 13:00","6.0"
"08","994.6","1005.1","995.9","2012-07-08 09:32","993.5","2012-07-08 15:50","28.2","31.4","2012-07-08 12:20","26.3","2012-07-08 04:56","23.3","75","65","2012-07-08 13:09","6.6","200","18.0","210","2012-07-08 19:01","0.0","0.0","0.0","","0.0","","10.9","79.8","27.07","18.2","6.9","10","2012-07-08 13:00","7.0"
"09","994.7","1005.1","996.6","2012-07-09 08:50","993.3","2012-07-09 16:51","28.1","30.9","2012-07-09 12:42","26.1","2012-07-09 04:00","23.7","78","66","2012-07-09 17:45","7.1","200","17.5","210","2012-07-09 20:06","0.0","0.0","0.0","","0.0","","11.0","80.6","27.04","10.8","7.5","10","2012-07-09 12:00","6.7"
"10","993.4","1003.9","995.5","2012-07-10 08:03","991.5","2012-07-10 17:04","27.9","30.3","2012-07-10 12:19","26.1","2012-07-10 03:41","24.0","80","70","2012-07-10 16:59","7.8","200","17.5","180","2012-07-10 14:03","0.0","0.0","0.0","","0.0","","12.3","90.2","26.29","8.3","6.8","10","2012-07-10 13:00","6.3"
